VBF_bkg,VBF_errbkg,VBF_data,signalBM2
2218.986,0.1,2165.6,0.0305786120978
1766.2359999999999,0.1,1772.32,0.026546267645340002
1383.0942000000002,0.1,1378.0,0.021841865784139998
975.4096000000001,0.1,996.4000000000001,0.015793349105462425
627.6218,0.1,586.0,0.01075291853988931
462.9194,0.1,466.0,0.0067205740874308195
328.4905800000001,0.1,321.0,0.004368373156830032
222.79846,0.1,222.00000000000003,0.004368373156830032
147.25351999999995,0.1,148.0,0.0020161722262292455
187.95420000000001,0.1,200.0,0.0016801435218577049
118.171002,0.1,117.0,0.00033602870437154095
37.128348,0.1,36.9996,0.00033602870437154095
