x  y 
205,265929437  4337,19853418
233,17535545  2281,07484297
263,191153239  1199,69201276
293,206951027  680,077081663
323,749341759  406,726365217
357,977883096  228,107484297
397,998946814  126,568484908
437,493417588  73,3020767646
476,987888362  43,3719853418
514,375987362  25,3893254622
554,39705108  16,9007888818
597,051079516  10,8945501488
646,550816219  6,37751021337
697,10373881  3,50095111427
748,709847288  2,40655254652
795,05002633  1,47042155509
849,289099526  1,29308748059
908,794102159  0,637751021337
970,405476567  0,411105690568
1030,96366509  0,298138872453
1095,20800421  0,130701047961
1164,19167983  0,248512842698
