x  y
204,212743549  4575,77979495
234,228541338  2406,55254652
263,717746182  1238,86292399
293,206951027  694,801048439
323,749341759  406,726365217
359,031068984  230,563575109
399,052132701  126,568484908
438,546603476  74,0913387121
479,094260137  43,3719853418
519,641916798  25,3893254622
559,136387572  17,0827639381
604,94997367  11,0118545179
646,550816219  6,37751021337
694,470774092  3,53864673787
745,550289626  2,43246450473
795,576619273  1,47042155509
849,289099526  1,29308748059
903,001579779  0,63095734448
969,352290679  0,415532169221
1023,59136388  0,298138872453
1102,58030542  0,133530782913
1182,09583992  0,251188643151
