,bins,counts,bins_lower
0,200 - 230,8027.386199999998,200
1,230 - 260,6183.7491599999985,230
2,260 - 290,4939.714439999999,260
3,290 - 320,3863.792519999999,290
4,320 - 350,3068.0585999999994,320
5,350 - 390,3020.426639999999,350
6,390 - 430,2437.635599999999,390
7,430 - 470,1773.5900399999996,430
8,470 - 510,1325.2892399999996,470
9,510 - 550,1075.9219199999998,510
10,550 - 590,784.5263999999997,550
11,590 - 640,736.8944399999998,590
12,640 - 690,563.1778799999998,640
13,690 - 740,431.4895199999999,690
14,740 - 790,311.0086799999999,740
15,790 - 840,215.74475999999996,790
16,840 - 900,190.52783999999994,840
17,900 - 960,156.90527999999995,900
18,960 - 1020,61.641359999999985,960
19,1020 - 1090,50.43383999999999,1020
20,1090 - 1160,53.235719999999986,1090
21,1160 - 2000,100.86767999999998,1160
