,bins,counts,bins_lower
0,200 - 230,38455.454699999995,200
1,230 - 260,27107.376299999993,230
2,260 - 290,21104.657999999996,260
3,290 - 320,15741.998999999996,290
4,320 - 350,10621.524599999997,320
5,350 - 390,10448.535599999997,350
6,390 - 430,6556.283099999999,390
7,430 - 470,4774.496399999999,430
8,470 - 510,2871.617399999999,470
9,510 - 550,2041.2701999999995,510
10,550 - 590,1453.1075999999996,550
11,590 - 640,1141.7273999999998,590
12,640 - 690,916.8416999999998,640
13,690 - 740,588.1625999999999,690
14,740 - 790,345.97799999999995,740
15,790 - 840,224.88569999999996,790
16,840 - 900,190.28789999999995,840
17,900 - 960,155.69009999999997,900
18,960 - 1020,69.19559999999998,960
19,1020 - 1090,34.59779999999999,1020
20,1090 - 1160,34.59779999999999,1090
21,1160 - 2000,138.39119999999997,1160
