,bins,counts,bins_lower
0,200 - 230,13703.3346,200
1,230 - 260,10301.30016,230
2,260 - 290,8252.06292,260
3,290 - 320,6247.91892,290
4,320 - 350,4980.29784,320
5,350 - 390,4995.32892,350
6,390 - 430,3807.8736000000004,390
7,430 - 470,2650.4804400000003,430
8,470 - 510,2154.4548,470
9,510 - 550,1498.0976400000002,510
10,550 - 590,1067.20668,550
11,590 - 640,1117.3102800000001,590
12,640 - 690,781.61616,640
13,690 - 740,475.98420000000004,690
14,740 - 790,250.51800000000003,740
15,790 - 840,195.40404,790
16,840 - 900,165.34188,840
17,900 - 960,115.23828,900
18,960 - 1020,100.2072,960
19,1020 - 1090,70.14504000000001,1020
20,1090 - 1160,30.062160000000002,1090
21,1160 - 2000,95.19684000000001,1160
