,bins,counts,bins_lower
0,200 - 230,17731.00614,200
1,230 - 260,13995.98658,230
2,260 - 290,10509.049500000001,260
3,290 - 320,7966.20408,290
4,320 - 350,6291.64734,320
5,350 - 390,5733.46176,350
6,390 - 430,4417.2463800000005,390
7,430 - 470,3514.5018,430
8,470 - 510,2549.7366,470
9,510 - 550,1764.14208,510
10,550 - 590,1378.236,550
11,590 - 640,1261.0859400000002,590
12,640 - 690,813.1592400000001,640
13,690 - 740,606.42384,690
14,740 - 790,447.92670000000004,740
15,790 - 840,220.51776,790
16,840 - 900,213.62658000000002,840
17,900 - 960,158.49714,900
18,960 - 1020,89.58534,960
19,1020 - 1090,96.47652000000001,1020
20,1090 - 1160,34.4559,1090
21,1160 - 2000,124.04124,1160
