,bins,counts,bins_lower
0,200 - 230,9082.006349999998,200
1,230 - 260,7052.669939999998,230
2,260 - 290,5620.197179999998,260
3,290 - 320,4339.360049999999,290
4,320 - 350,3426.3199799999993,320
5,350 - 390,3526.334969999999,350
6,390 - 430,2729.4413399999994,390
7,430 - 470,2077.7307599999995,430
8,470 - 510,1529.2614599999997,470
9,510 - 550,1109.8437599999997,510
10,550 - 590,906.5874899999998,550
11,590 - 640,767.8570199999998,590
12,640 - 690,600.0899399999998,640
13,690 - 740,477.4909199999999,690
14,740 - 790,348.4393199999999,740
15,790 - 840,274.23464999999993,790
16,840 - 900,187.12481999999994,840
17,900 - 960,93.56240999999997,900
18,960 - 1020,100.01498999999997,960
19,1020 - 1090,67.75208999999998,1020
20,1090 - 1160,48.39434999999999,1090
21,1160 - 2000,112.92014999999998,1160
