,bins,counts,bins_lower
0,200 - 230,23543.529420000006,200
1,230 - 260,17876.002140000004,230
2,260 - 290,13848.564090000003,260
3,290 - 320,10626.613650000003,290
4,320 - 350,8006.352750000002,320
5,350 - 390,7744.3266600000015,350
6,390 - 430,5716.050630000002,390
7,430 - 470,3930.391350000001,430
8,470 - 510,3124.9037400000007,470
9,510 - 550,2193.2554200000004,510
10,550 - 590,1494.5191800000002,550
11,590 - 640,1203.3790800000002,590
12,640 - 690,902.5343100000002,640
13,690 - 740,436.7101500000001,690
14,740 - 790,378.4821300000001,740
15,790 - 840,262.02609000000007,790
16,840 - 900,252.32142000000005,840
17,900 - 960,164.97939000000002,900
18,960 - 1020,106.75137000000002,960
19,1020 - 1090,48.52335000000001,1020
20,1090 - 1160,48.52335000000001,1090
21,1160 - 2000,155.27472000000003,1160
