,bins,counts,bins_lower
0,200 - 230,33754.6818,200
1,230 - 260,23518.299600000002,230
2,260 - 290,17807.9211,260
3,290 - 320,12816.6273,290
4,320 - 350,10165.8837,320
5,350 - 390,9686.4939,350
6,390 - 430,7190.847,390
7,430 - 470,4793.898,430
8,470 - 510,3031.4355,470
9,510 - 550,2354.6499,510
10,550 - 590,1593.2661,550
11,590 - 640,1198.4745,590
12,640 - 690,916.4805,640
13,690 - 740,592.1874,690
14,740 - 790,324.2931,740
15,790 - 840,296.0937,790
16,840 - 900,183.2961,840
17,900 - 960,98.6979,900
18,960 - 1020,70.4985,960
19,1020 - 1090,42.2991,1020
20,1090 - 1160,42.2991,1090
21,1160 - 2000,98.6979,1160
