,bins,counts,bins_lower
0,200 - 230,7965.744839999998,200
1,230 - 260,6346.258199999998,230
2,260 - 290,4950.921959999999,260
3,290 - 320,3939.443279999999,290
4,320 - 350,3087.6717599999993,320
5,350 - 390,3168.926279999999,350
6,390 - 430,2580.531479999999,390
7,430 - 470,1779.1937999999996,430
8,470 - 510,1468.1851199999996,470
9,510 - 550,1106.7425999999998,510
10,550 - 590,823.7527199999997,550
11,590 - 640,784.5263999999997,590
12,640 - 690,574.3853999999999,640
13,690 - 740,417.4801199999999,690
14,740 - 790,305.40491999999995,740
15,790 - 840,263.3767199999999,790
16,840 - 900,238.15979999999993,840
17,900 - 960,112.07519999999997,900
18,960 - 1020,98.06579999999997,960
19,1020 - 1090,72.84887999999998,1020
20,1090 - 1160,56.03759999999998,1090
21,1160 - 2000,92.46203999999997,1160
