,bins,counts,error,bins_lower
0,200 - 230,8027.386199999998,251.03634896545827,200
1,230 - 260,6183.7491599999985,220.33092788212798,230
2,260 - 290,4939.714439999999,196.9248180960211,260
3,290 - 320,3863.792519999999,174.16321374113082,290
4,320 - 350,3068.0585999999994,155.19629759980455,320
5,350 - 390,3020.426639999999,153.98686497445755,350
6,390 - 430,2437.635599999999,138.33558886698697,390
7,430 - 470,1773.5900399999996,117.99840904909584,430
8,470 - 510,1325.2892399999996,102.00110279218063,470
9,510 - 550,1075.9219199999998,91.90516286646897,510
10,550 - 590,784.5263999999997,78.47897325251715,550
11,590 - 640,736.8944399999998,76.05927319363514,590
12,640 - 690,563.1778799999998,66.49244849166358,640
13,690 - 740,431.4895199999999,58.20156427041387,690
14,740 - 790,311.0086799999999,49.412381543618366,740
15,790 - 840,215.74475999999996,41.15472077127433,790
16,840 - 900,190.52783999999994,38.67486025961977,840
17,900 - 960,156.90527999999995,35.09686379940322,900
18,960 - 1020,61.641359999999985,21.998123567779647,960
19,1020 - 1090,50.43383999999999,19.8980514453271,1020
20,1090 - 1160,53.235719999999986,20.443304493561907,1090
21,1160 - 2000,100.86767999999998,28.140094218779147,1160
