,bins,counts,error,bins_lower
0,200 - 230,17731.00614,917.6145348236296,200
1,230 - 260,13995.98658,815.2585322169988,230
2,260 - 290,10509.049500000001,706.4400503583022,260
3,290 - 320,7966.20408,615.0625833711014,290
4,320 - 350,6291.64734,546.6077434066509,320
5,350 - 390,5733.46176,521.7975722267884,350
6,390 - 430,4417.2463800000005,458.00414214241476,390
7,430 - 470,3514.5018,408.5314345291449,430
8,470 - 510,2549.7366,347.96955920902604,470
9,510 - 550,1764.14208,289.4412157040477,510
10,550 - 590,1378.236,255.83230797401296,550
11,590 - 640,1261.0859400000002,244.71801194441912,590
12,640 - 690,813.1592400000001,196.5085244562002,640
13,690 - 740,606.42384,169.69995496008977,690
14,740 - 790,447.92670000000004,145.8468552491819,740
15,790 - 840,220.51776,102.33292318960518,790
16,840 - 900,213.62658000000002,100.72128037069965,840
17,900 - 960,158.49714,86.75695665121428,900
18,960 - 1020,89.58534,65.22469652834855,960
19,1020 - 1090,96.47652000000001,67.68686642349249,1020
20,1090 - 1160,34.4559,40.45063961277689,1090
21,1160 - 2000,124.04124,76.74969239220388,1160
