,bins,counts,error,bins_lower
0,200 - 230,6964.525529999999,204.43744394988764,200
1,230 - 260,5548.593149999999,182.47615268479746,230
2,260 - 290,4328.637569999999,161.1722568681609,260
3,290 - 320,3444.2922599999993,143.76880830351732,290
4,320 - 350,2699.58042,127.28077464530097,320
5,350 - 390,2770.6220099999996,128.944646240773,350
6,390 - 430,2256.1829099999995,116.3594949761508,390
7,430 - 470,1555.5658499999997,96.61818507079934,430
8,470 - 510,1283.6480399999998,87.7682938434487,470
9,510 - 550,967.6354499999999,76.20273525293359,510
10,550 - 590,720.2147399999999,65.74241866766478,550
11,590 - 640,685.9187999999999,64.15803117358706,590
12,640 - 690,502.1905499999999,54.89704186782448,640
13,690 - 740,365.00678999999997,46.80207915278423,690
14,740 - 790,267.01838999999995,40.02996971394128,740
15,790 - 840,230.27273999999997,37.17371280424376,790
16,840 - 900,208.22534999999996,35.349353497120724,840
17,900 - 960,97.98839999999998,24.249456441834408,900
18,960 - 1020,85.73984999999999,22.68328945521066,960
19,1020 - 1090,63.69245999999999,19.550536809020763,1020
20,1090 - 1160,48.99419999999999,17.146955090108918,1090
21,1160 - 2000,80.84042999999998,22.02566261483749,1160
