,bins,counts,bins_lower
0,200 - 230,8271.149759999998,200
1,230 - 260,6542.389799999998,230
2,260 - 290,5200.289279999999,260
3,290 - 320,4076.735399999999,290
4,320 - 350,3317.425919999999,320
5,350 - 390,3381.8691599999993,350
6,390 - 430,2437.635599999999,390
7,430 - 470,2017.3535999999995,430
8,470 - 510,1473.7888799999996,470
9,510 - 550,1159.9783199999997,510
10,550 - 590,829.3564799999998,550
11,590 - 640,879.7903199999997,590
12,640 - 690,593.9985599999999,640
13,690 - 740,431.4895199999999,690
14,740 - 790,336.22559999999993,740
15,790 - 840,240.96167999999994,790
16,840 - 900,187.72595999999996,840
17,900 - 960,140.09399999999997,900
18,960 - 1020,131.68835999999996,960
19,1020 - 1090,103.66955999999998,1020
20,1090 - 1160,58.83947999999999,1090
21,1160 - 2000,109.27331999999997,1160
