,bins,counts,error,bins_lower
0,200 - 230,9082.006349999998,307.4640210515218,200
1,230 - 260,7052.669939999998,270.94440162383177,230
2,260 - 290,5620.197179999998,241.86842600563588,260
3,290 - 320,4339.360049999999,212.52804399997734,290
4,320 - 350,3426.3199799999993,188.85016187210468,320
5,350 - 390,3526.334969999999,191.5866237127429,350
6,390 - 430,2729.4413399999994,168.55447397079166,390
7,430 - 470,2077.7307599999995,147.06117673290026,430
8,470 - 510,1529.2614599999997,126.16656346764151,470
9,510 - 550,1109.8437599999997,107.48164986752887,510
10,550 - 590,906.5874899999998,97.14227340887196,550
11,590 - 640,767.8570199999998,89.40124803806304,590
12,640 - 690,600.0899399999998,79.03356552230156,640
13,690 - 740,477.4909199999999,70.49948764081549,690
14,740 - 790,348.4393199999999,60.22363715166105,740
15,790 - 840,274.23464999999993,53.42746468264664,790
16,840 - 900,187.12481999999994,44.133574118484006,840
17,900 - 960,93.56240999999997,31.207149537179152,900
18,960 - 1020,100.01498999999997,32.26531801374332,960
19,1020 - 1090,67.75208999999998,26.556127825180905,1020
20,1090 - 1160,48.39434999999999,22.444024420565988,1090
21,1160 - 2000,112.92014999999998,34.28381360222701,1160
