,bins,counts,error,bins_lower
0,200 - 230,15016.0128,718.7733715783621,200
1,230 - 260,11561.15673,630.6890762012185,230
2,260 - 290,9437.79867,569.8361784667717,260
3,290 - 320,7326.17187,502.0572188089626,290
4,320 - 350,5830.4362200000005,447.8836295271707,320
5,350 - 390,5554.75161,437.16661236134667,350
6,390 - 430,3883.0470600000003,365.5114544390074,390
7,430 - 470,3267.1559100000004,335.2737826828296,430
8,470 - 510,2205.47688,275.4646784607553,470
9,510 - 550,1706.89833,242.33631030636138,510
10,550 - 590,1137.9322200000001,197.86676879978455,550
11,590 - 640,1038.21651,188.9986186138675,590
12,640 - 690,785.99442,164.44640962949006,640
13,690 - 740,539.63796,136.2592237294926,690
14,740 - 790,369.53469,112.75667777563864,740
15,790 - 840,252.22209,93.15501166292714,790
16,840 - 900,193.56579000000002,81.60729198656536,840
17,900 - 960,99.71571,58.57286365986595,900
18,960 - 1020,82.11882,53.1540076528137,960
19,1020 - 1090,35.193780000000004,34.7974662227544,1020
20,1090 - 1160,41.05941,37.58555925854621,1090
21,1160 - 2000,70.38756000000001,49.21104866843895,1160
