,bins,counts,error,bins_lower
0,200 - 230,45575.0163,4574.280147854092,200
1,230 - 260,34304.4669,3968.57580290595,230
2,260 - 290,23548.1631,3288.0458153898335,260
3,290 - 320,17548.6311,2838.448147646703,290
4,320 - 350,12620.4441,2407.1140151677005,320
5,350 - 390,12684.7248,2413.236400678236,350
6,390 - 430,7113.7308,1807.2076486334934,390
7,430 - 470,5656.7016,1611.539584269638,430
8,470 - 510,3449.7309,1258.4963263369364,470
9,510 - 550,2292.6783,1025.9611199520675,510
10,550 - 590,1735.5789,892.6506458998368,550
11,590 - 640,1199.9064,742.2206406754788,590
12,640 - 690,1071.345,701.3325832736957,640
13,690 - 740,557.0994,505.73811802938565,690
14,740 - 790,385.6842,420.7995499642174,740
15,790 - 840,214.269,313.64546620710314,790
16,840 - 900,128.5614,242.94873344671433,840
17,900 - 960,107.1345,221.78083604345878,900
18,960 - 1020,0.0,0.0,960
19,1020 - 1090,64.2807,171.7906969008547,1020
20,1090 - 1160,42.8538,140.26651665473915,1090
21,1160 - 2000,85.7076,198.3668101999637,1160
