,bins,counts,error,bins_lower
0,200 - 230,6340.453199999999,171.02677198588208,200
1,230 - 260,5015.229749999999,152.1070573748495,230
2,260 - 290,3986.409599999999,135.6109967754325,260
3,290 - 320,3125.1217499999993,120.07080404774315,290
4,320 - 350,2543.0543999999995,108.31329641988077,320
5,350 - 390,2592.4549499999994,109.36026583721004,350
6,390 - 430,1868.6294999999996,92.8465024745809,390
7,430 - 470,1546.4519999999998,84.46410225494832,430
8,470 - 510,1129.7690999999998,72.19361586579635,470
9,510 - 550,889.2098999999998,64.04807668929068,510
10,550 - 590,635.7635999999999,54.156648209940386,550
11,590 - 640,674.4248999999999,55.77900285572161,590
12,640 - 690,455.3441999999999,45.83253224729747,640
13,690 - 740,330.7688999999999,39.063061973541444,690
14,740 - 790,257.74199999999996,34.48232535114757,740
15,790 - 840,184.71509999999998,29.19141504785353,790
16,840 - 900,143.90594999999996,25.765781738043646,840
17,900 - 960,107.39249999999998,22.258245303916727,900
18,960 - 1020,100.94894999999998,21.58016948424574,960
19,1020 - 1090,79.47044999999999,19.147266597791575,1020
20,1090 - 1160,45.10484999999999,14.424991621623874,1090
21,1160 - 2000,83.76614999999998,19.65794998282573,1160
