,bins,counts,error,bins_lower
0,200 - 230,11361.526650000002,459.9431742802578,200
1,230 - 260,9255.78225,415.1379122134433,230
2,260 - 290,7490.9268,373.4681832517618,260
3,290 - 320,5773.5369,327.8738688619584,290
4,320 - 350,4474.7068500000005,288.64771694296115,320
5,350 - 390,4405.666050000001,286.4122701905874,350
6,390 - 430,3374.3691000000003,250.65832033796542,390
7,430 - 470,2498.41395,215.68405029128655,430
8,470 - 510,1721.70495,179.04623639622793,470
9,510 - 550,1536.1578000000002,169.12341815856283,510
10,550 - 590,1057.1872500000002,140.3013309053859,550
11,590 - 640,1031.2969500000002,138.57270640741606,590
12,640 - 690,638.6274000000001,109.04596655119653,640
13,690 - 740,552.3264,101.41068900891275,690
14,740 - 790,284.79330000000004,72.8200070050356,740
15,790 - 840,241.64280000000002,67.0768658503236,790
16,840 - 900,172.602,56.69029856725492,840
17,900 - 960,138.0816,50.70534450445638,900
18,960 - 1020,103.56120000000001,43.9121164485009,960
19,1020 - 1090,56.095650000000006,32.31844263395847,1020
20,1090 - 1160,47.46555,29.728643371372314,1090
21,1160 - 2000,107.87625000000001,44.817616176876435,1160
