,bins,counts,bins_lower
0,200 - 230,27866.383919999997,200
1,230 - 260,21845.004479999996,230
2,260 - 290,15228.488699999998,260
3,290 - 320,11867.718779999997,290
4,320 - 350,9510.512099999998,320
5,350 - 390,8506.948859999999,350
6,390 - 430,6301.443599999999,390
7,430 - 470,4527.703919999999,430
8,470 - 510,3244.0765199999996,470
9,510 - 550,2158.8278999999998,510
10,550 - 590,1517.0141999999998,550
11,590 - 640,1306.9660799999997,590
12,640 - 690,910.2085199999999,640
13,690 - 740,501.7816199999999,690
14,740 - 790,291.73349999999994,740
15,790 - 840,268.39482,790
16,840 - 900,163.37075999999996,840
17,900 - 960,128.36273999999997,900
18,960 - 1020,116.69339999999998,960
19,1020 - 1090,35.008019999999995,1020
20,1090 - 1160,70.01603999999999,1090
21,1160 - 2000,116.69339999999998,1160
