,bins,counts,error,bins_lower
0,200 - 230,33754.6818,2590.459945084636,200
1,230 - 260,23518.299600000002,2162.2844819260094,230
2,260 - 290,17807.9211,1881.5531192292199,260
3,290 - 320,12816.6273,1596.2347089320976,290
4,320 - 350,10165.8837,1421.6164517674335,320
5,350 - 390,9686.4939,1387.6922949243433,350
6,390 - 430,7190.847,1195.6385148327886,390
7,430 - 470,4793.898,976.2347593864762,430
8,470 - 510,3031.4355,776.3079582765458,470
9,510 - 550,2354.6499,684.1842050886329,510
10,550 - 590,1593.2661,562.7999239989181,550
11,590 - 640,1198.4745,488.1173796932381,590
12,640 - 690,916.4805,426.84626607533215,640
13,690 - 740,592.1874,343.11480169455365,690
14,740 - 790,324.2931,253.90936910748368,740
15,790 - 840,296.0937,242.6188030036964,790
16,840 - 900,183.2961,190.891453377281,840
17,900 - 960,98.6979,140.07603122464891,900
18,960 - 1020,70.4985,118.38585377499656,960
19,1020 - 1090,42.2991,91.70128801942163,1020
20,1090 - 1160,42.2991,91.70128801942163,1090
21,1160 - 2000,98.6979,140.07603122464891,1160
