,bins,counts,error,bins_lower
0,200 - 230,13703.3346,586.5189692055844,200
1,230 - 260,10301.30016,508.5280959111322,230
2,260 - 290,8252.06292,455.14544094072215,260
3,290 - 320,6247.91892,396.03778605929836,290
4,320 - 350,4980.29784,353.5872443819192,320
5,350 - 390,4995.32892,354.1204247466769,350
6,390 - 430,3807.8736000000004,309.17914613134946,390
7,430 - 470,2650.4804400000003,257.94744667972475,430
8,470 - 510,2154.4548,232.56139566585833,470
9,510 - 550,1498.0976400000002,193.92731810068554,510
10,550 - 590,1067.20668,163.679088935985,550
11,590 - 640,1117.3102800000001,167.47725297924322,590
12,640 - 690,781.61616,140.07663375711815,640
13,690 - 740,475.98420000000004,109.31133541547187,690
14,740 - 790,250.51800000000003,79.30277771173425,740
15,790 - 840,195.40404,70.03831687855907,790
16,840 - 900,165.34188,64.42588117244377,840
17,900 - 960,115.23828,53.78576070194134,900
18,960 - 1020,100.2072,50.15548046942321,960
19,1020 - 1090,70.14504000000001,41.963085620376944,1020
20,1090 - 1160,30.062160000000002,27.471288035612893,1090
21,1160 - 2000,95.19684000000001,48.88551534005507,1160
