,bins,counts,error,bins_lower
0,200 - 230,10480.166399999998,380.9952988748541,200
1,230 - 260,8280.67125,338.6634274473588,230
2,260 - 290,6289.588499999999,295.1526208764385,260
3,290 - 320,5065.165649999999,264.8697455248388,290
4,320 - 350,3743.9798999999994,227.72058040150358,320
5,350 - 390,3944.9489999999996,233.75247843744378,350
6,390 - 430,2995.9282499999995,203.7047855756257,390
7,430 - 470,2151.1137,172.6105001275074,430
8,470 - 510,1671.0208499999997,152.13406236589114,470
9,510 - 550,1209.5362499999999,129.43298652958384,510
10,550 - 590,997.4021999999999,117.5359410108869,550
11,590 - 640,893.1959999999999,111.22666421421665,590
12,640 - 690,807.5980499999998,105.76285324946319,640
13,690 - 740,476.37119999999993,81.22847064823878,690
14,740 - 790,353.55674999999997,69.97857496706581,740
15,790 - 840,204.69074999999998,53.24571171200142,790
16,840 - 900,212.13404999999997,54.20517108775463,840
17,900 - 960,111.64949999999999,39.32456425731584,900
18,960 - 1020,70.71135,31.295370118984856,960
19,1020 - 1090,78.15464999999999,32.901290974966834,1020
20,1090 - 1160,59.54639999999999,28.71860121039104,1090
21,1160 - 2000,74.43299999999999,32.10837226257105,1160
