,bins,counts,error,bins_lower
0,200 - 230,20704.943759999995,1174.794307760304,200
1,230 - 260,15381.748439999998,1012.5760667552686,230
2,260 - 290,11928.203009999997,891.6867574479357,260
3,290 - 320,9380.907089999999,790.7646076507716,290
4,320 - 350,6776.460299999999,672.0881762986912,320
5,350 - 390,7617.394529999999,712.5708149972295,350
6,390 - 430,4963.961279999999,575.2266501086839,390
7,430 - 470,3559.6827599999992,487.11382268744813,430
8,470 - 510,2522.8026899999995,410.07797916487226,470
9,510 - 550,2090.0889599999996,373.25633861167444,510
10,550 - 590,1428.7717499999997,308.6073272640645,550
11,590 - 640,1273.6479599999998,291.37313593992775,590
12,640 - 690,849.0986399999998,237.9051692691405,640
13,690 - 740,440.8781399999999,171.428919910894,690
14,740 - 790,424.5493199999999,168.2243584695427,740
15,790 - 840,342.90521999999993,151.18609653621147,790
16,840 - 900,244.93229999999994,127.77557274337538,840
17,900 - 960,130.63055999999997,93.31408465291861,900
18,960 - 1020,122.46614999999997,90.35097395683572,960
19,1020 - 1090,114.30173999999998,87.28733353291045,1020
20,1090 - 1160,57.15086999999999,61.7214654528129,1090
21,1160 - 2000,138.79496999999998,96.18595684545284,1160
