,bins,counts,error,bins_lower
0,200 - 230,27866.383919999997,1947.9894558894887,200
1,230 - 260,21845.004479999996,1724.7349451306836,230
2,260 - 290,15228.488699999998,1440.0404666597492,260
3,290 - 320,11867.718779999997,1271.2469296875192,290
4,320 - 350,9510.512099999998,1138.015677284753,320
5,350 - 390,8506.948859999999,1076.2996640630627,350
6,390 - 430,6301.443599999999,926.3312609877509,390
7,430 - 470,4527.703919999999,785.2090624798534,430
8,470 - 510,3244.0765199999996,664.6482085550241,470
9,510 - 550,2158.8278999999998,542.1947459005781,510
10,550 - 590,1517.0141999999998,454.50756555820806,550
11,590 - 640,1306.9660799999997,421.8698144138113,590
12,640 - 690,910.2085199999999,352.06004642644314,640
13,690 - 740,501.7816199999999,261.3988474377936,690
14,740 - 790,291.73349999999994,199.31475260427086,740
15,790 - 840,268.39482,191.1759947201676,790
16,840 - 900,163.37075999999996,149.15350327495813,840
17,900 - 960,128.36273999999997,132.21044991417565,900
18,960 - 1020,116.69339999999998,126.05771790049461,960
19,1020 - 1090,35.008019999999995,69.04465564172366,1020
20,1090 - 1160,70.01603999999999,97.64388841790563,1090
21,1160 - 2000,116.69339999999998,126.05771790049461,1160
