,bins,counts,error,bins_lower
0,200 - 230,38455.454699999995,3392.325083049708,200
1,230 - 260,27107.376299999993,2848.1458844105828,230
2,260 - 290,21104.657999999996,2513.0877173455665,260
3,290 - 320,15741.998999999996,2170.443217242938,290
4,320 - 350,10621.524599999997,1782.8381460917215,320
5,350 - 390,10448.535599999997,1768.2603205132978,350
6,390 - 430,6556.283099999999,1400.707123133639,390
7,430 - 470,4774.496399999999,1195.3147351221585,430
8,470 - 510,2871.617399999999,927.0043588691547,470
9,510 - 550,2041.2701999999995,781.5715385581314,510
10,550 - 590,1453.1075999999996,659.427987036495,550
11,590 - 640,1141.7273999999998,584.5204365825424,590
12,640 - 690,916.8416999999998,523.8002085788781,640
13,690 - 740,588.1625999999999,419.5340269836531,690
14,740 - 790,345.97799999999995,321.76791032661,740
15,790 - 840,224.88569999999996,259.41758281845443,790
16,840 - 900,190.28789999999995,238.62946897601378,840
17,900 - 960,155.69009999999997,215.84847614050693,900
18,960 - 1020,69.19559999999998,143.8989840936713,960
19,1020 - 1090,34.59779999999999,101.75194745849011,1020
20,1090 - 1160,34.59779999999999,101.75194745849011,1090
21,1160 - 2000,138.39119999999997,203.50389491698022,1160
