,bins,counts,bins_lower
0,200 - 230,7639.779899999999,200
1,230 - 260,6481.359899999999,230
2,260 - 290,5027.542799999999,260
3,290 - 320,3912.563549999999,290
4,320 - 350,2887.3618499999993,320
5,350 - 390,3240.6799499999993,350
6,390 - 430,2250.2308499999995,390
7,430 - 470,1807.1351999999995,430
8,470 - 510,1355.3513999999998,470
9,510 - 550,1045.4740499999998,510
10,550 - 590,776.1413999999999,550
11,590 - 640,599.4823499999999,590
12,640 - 690,503.91269999999986,640
13,690 - 740,443.0956499999999,690
14,740 - 790,269.33264999999994,740
15,790 - 840,165.07484999999997,790
16,840 - 900,165.07484999999997,840
17,900 - 960,104.25779999999997,900
18,960 - 1020,55.02494999999999,960
19,1020 - 1090,37.64864999999999,1020
20,1090 - 1160,23.168399999999995,1090
21,1160 - 2000,46.33679999999999,1160
