x  y
216,324381253  8,88867872675
244,760400211  6,87399643118
277,935755661  5,25932770886
306,371774618  4,11105690568
333,754607688  3,11188296928
369,036334913  2,43246450473
408,004212744  1,88112911249
448,025276461  1,34968542529
488,572933123  1
525,434439179  0,870031313554
569,141653502  0,624236037629
609,689310163  0,560837712537
663,401790416  0,369353195283
710,795155345  0,331841144493
760,821484992  0,243246450473
810,321221696  0,174526132617
868,773038441  0,121260939923
921,432332807  0,0833547268269
986,203264876  0,0725212224722
1052,02738283  0,05373194458
1122,06424434  0,0402393690862
1198,42022117  0,0611007458456
