VBF_bkg,VBF_errbkg,VBF_data,VBF_ldecays,VBF_WZdecays
1109.493,0.2,1082.8,21.332,19.392
1766.2359999999999,0.2,1772.32,44.407999999999994,42.897999999999996
1383.0942000000002,0.2,1378.0,38.056,34.032000000000004
975.4096000000001,0.2,996.4000000000001,28.766000000000002,27.401999999999997
627.6218,0.2,586.0,22.822,21.248
462.9194,0.2,466.0,17.5606,20.45
328.4905800000001,0.2,321.0,14.612,13.623199999999999
222.79846,0.2,222.00000000000003,10.3158,10.2072
147.25351999999995,0.2,148.0,6.0094,7.7264
140.96565,0.2,150.0,6.2028,8.190900000000001
98.475835,0.2,97.5,8.380500000000001,9.428
34.034319,0.2,33.9163,6.402660000000001,6.28881
