DJ_bkg,DJ_errbkg,DJ_data,DJ_signal
1595961.250617663,0.20122284600890558,1580500.0,0
1195547.2901304727,0.016469841028486896,1203800.0,0
913237.1246301353,0.08117058955329116,913880.0,0
694609.5968760743,0.16848788960957628,694310.0,0
524210.5636555017,0.29581757638438944,527220.0,0
399108.0307738962,0.08877964696971404,399240.0,0
302152.35971476545,0.254901038943499,303320.0,0
229656.14577091017,0.1800709091697472,231180.0,0
172763.33826699443,0.2625057114461146,171710.0,0
134112.77918260955,0.0905977747568162,132940.0,0
99276.58587030352,0.0013655200725643968,99186.0,0
76530.30131801564,0.04310495992094647,75978.0,0
57611.993975020356,0.21005354900947665,57251.0,1
42515.20061019096,0.01880937895883227,42790.0,1
32395.521335507554,0.11018201749985367,32446.0,3
24046.441807373227,0.2641081116925977,24030.0,5
18093.68113776562,0.01344618753444723,17974.0,20
13436.179470162611,0.19146535655037927,13361.0,58
10122.468709473567,0.006330618840614188,10040.0,116
7319.484806855568,0.2906066121737751,7288.0,299
5415.652494054851,0.04591154040260211,5424.0,608
4088.0496274759407,0.08387648826627524,4062.0,1303
2885.4348332000386,0.15551283285928144,2866.0,2474
2033.7895983963456,0.037185085218106435,2038.0,4366
1454.859087835758,0.2637218509238514,1450.0,7137
1091.1960104773636,0.07643729229005648,1095.0,10259
800.3504856062206,0.25098863757175954,800.0,13064
554.7272111248142,0.11857432753765401,555.0,15022
364.1083365817528,0.024342175452274007,366.0,14686
253.74487343055029,0.26494561835335934,254.0,12560
155.3044606151817,0.2644519421920731,156.0,8739
113.00968528061055,0.12009081652499377,113.0,5267
77.52542420492475,0.21921285033001345,78.0,2588
49.06595753073842,0.22354975534809604,49.0,997
32.832493535724275,0.23556925932698167,33.0,330
17.90327969989123,0.07815060686684952,18.0,85
8.002582846435244,0.2645194942969538,8.0,10
8.0658653412583,0.23652119244032907,8.0,1
7.921678133542621,0.05793460354148463,8.0,1
0.0,0.06991119652134073,0.0,0
2.988644965607634,0.28997773858605846,3.0,0
1.0076234159976927,0.10673027425863534,1.0,0
