,bins,counts,bins_lower
0,200 - 230,0.07817141999999999,200
1,230 - 260,0.063917565,230
2,260 - 290,0.049637265,260
3,290 - 320,0.04130709,290
4,320 - 350,0.03406116,320
5,350 - 390,0.03432561,350
6,390 - 430,0.026154104999999997,390
7,430 - 470,0.02083866,430
8,470 - 510,0.01591989,470
9,510 - 550,0.012508485,510
10,550 - 590,0.009652425,550
11,590 - 640,0.008991299999999999,590
12,640 - 690,0.00629391,640
13,690 - 740,0.00555345,690
14,740 - 790,0.004416315,740
15,790 - 840,0.0026444999999999997,790
16,840 - 900,0.0030411749999999997,840
17,900 - 960,0.0021156,900
18,960 - 1020,0.0016131449999999999,960
19,1020 - 1090,0.00116358,1020
20,1090 - 1160,0.0007140149999999999,1090
21,1160 - 2000,0.0019040399999999999,1160
